                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85557,                0.63794,                 1.1885,                0.86825,                0.87405,                0.88425,                0.64043,                    nan,                    nan,                    nan,             0.00066138,             0.00066138,             0.00066138
                      2,                0.91206,                0.67655,                 1.2177,                0.85782,                 0.8626,                0.86668,                 0.6272,                    nan,                    nan,                    nan,              0.0013215,              0.0013215,              0.0013215
                      3,                0.95298,                0.72208,                  1.253,                0.87993,                 0.8855,                0.87945,                0.62204,                    nan,                    nan,                    nan,               0.001975,               0.001975,               0.001975
                      4,                0.97641,                0.76344,                 1.2715,                0.83545,                 0.8626,                0.87272,                0.59114,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                0.99138,                0.73137,                 1.2734,                0.83147,                0.82443,                0.86928,                0.60049,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      6,                0.97883,                0.75439,                 1.2682,                0.85126,                0.86641,                0.89495,                0.63456,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      7,                0.97992,                0.73794,                 1.2738,                0.84529,                0.87023,                0.87511,                0.59063,                    nan,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      8,                0.98789,                0.74192,                 1.2721,                0.77883,                 0.8333,                0.85946,                0.53697,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      9,                0.97621,                 0.7336,                  1.264,                0.87848,                0.83206,                0.88896,                0.62425,                    nan,                    nan,                    nan,              0.0019307,              0.0019307,              0.0019307
                     10,                0.96799,                0.72319,                 1.2646,                0.87416,                0.87023,                0.87739,                0.57406,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                     11,                0.97287,                0.72859,                 1.2662,                0.86864,                 0.8834,                0.90555,                0.61705,                    nan,                    nan,                    nan,              0.0019109,              0.0019109,              0.0019109
                     12,                 0.9776,                0.74644,                  1.271,                0.87801,                0.85156,                0.87194,                0.59217,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     13,                0.95738,                0.72011,                 1.2516,                0.88592,                0.88925,                0.87501,                0.61999,                    nan,                    nan,                    nan,              0.0018911,              0.0018911,              0.0018911
                     14,                0.98035,                0.71461,                 1.2701,                0.81128,                0.83682,                0.86058,                0.60131,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     15,                0.97549,                0.74543,                 1.2679,                0.86552,                 0.8598,                0.87794,                0.61741,                    nan,                    nan,                    nan,              0.0018713,              0.0018713,              0.0018713
                     16,                0.96833,                0.72064,                 1.2637,                0.84528,                0.83411,                0.88134,                 0.6084,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     17,                0.95049,                0.72933,                 1.2472,                0.85657,                0.84341,                0.87676,                0.59396,                    nan,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
                     18,                0.94355,                 0.7183,                 1.2375,                0.84918,                0.83815,                0.85151,                0.58749,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     19,                0.94774,                0.69735,                 1.2428,                0.82345,                0.82443,                0.85778,                0.59731,                    nan,                    nan,                    nan,              0.0018317,              0.0018317,              0.0018317
                     20,                0.95051,                0.69981,                 1.2519,                0.86821,                0.88931,                0.88669,                0.64124,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     21,                0.93046,                0.71094,                 1.2457,                0.83296,                0.83206,                0.81933,                0.56513,                    nan,                    nan,                    nan,              0.0018119,              0.0018119,              0.0018119
                     22,                0.92216,                0.70813,                 1.2286,                0.89366,                0.83588,                0.86484,                0.60459,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     23,                0.92488,                 0.6996,                 1.2413,                0.83028,                0.84733,                0.88386,                0.61104,                    nan,                    nan,                    nan,              0.0017921,              0.0017921,              0.0017921
                     24,                0.93048,                0.70021,                 1.2323,                0.86341,                0.86859,                0.89015,                0.61954,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     25,                0.93892,                 0.6996,                 1.2335,                 0.8303,                0.85901,                0.86183,                0.60937,                    nan,                    nan,                    nan,              0.0017723,              0.0017723,              0.0017723
                     26,                0.90382,                0.66672,                 1.2183,                0.84096,                0.83969,                0.88923,                0.62216,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     27,                0.91804,                 0.6716,                 1.2363,                0.84946,                0.77481,                0.86452,                0.62663,                    nan,                    nan,                    nan,              0.0017525,              0.0017525,              0.0017525
                     28,                0.92028,                0.67476,                 1.2311,                0.85161,                0.83969,                0.87133,                0.61307,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     29,                0.92219,                0.69404,                 1.2267,                0.86611,                0.86641,                0.90429,                0.64407,                    nan,                    nan,                    nan,              0.0017327,              0.0017327,              0.0017327
                     30,                0.91062,                0.67983,                 1.2247,                0.84331,                0.88333,                0.88225,                0.62813,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     31,                0.90479,                0.67611,                 1.2208,                0.86496,                0.87405,                0.89548,                0.64316,                    nan,                    nan,                    nan,              0.0017129,              0.0017129,              0.0017129
                     32,                0.90131,                0.66759,                 1.2155,                0.83469,                0.85115,                0.86216,                0.59322,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     33,                0.90251,                0.67604,                 1.2181,                 0.8352,                0.83179,                0.86091,                0.59761,                    nan,                    nan,                    nan,              0.0016931,              0.0016931,              0.0016931
                     34,                  0.904,                0.67808,                 1.2286,                0.84438,                0.84911,                0.88664,                0.64256,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     35,                0.88975,                0.65065,                 1.2133,                0.84985,                0.85878,                0.86433,                0.61691,                    nan,                    nan,                    nan,              0.0016733,              0.0016733,              0.0016733
                     36,                0.89568,                0.66909,                  1.218,                0.88303,                0.84351,                0.87706,                0.62857,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     37,                 0.8871,                0.66566,                 1.2059,                 0.8669,                0.87023,                0.87392,                0.61398,                    nan,                    nan,                    nan,              0.0016535,              0.0016535,              0.0016535
                     38,                 0.8848,                0.65485,                 1.2074,                0.88306,                0.87405,                0.88514,                 0.6213,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     39,                0.87555,                0.64216,                 1.1926,                0.87967,                0.80918,                0.88171,                0.62906,                    nan,                    nan,                    nan,              0.0016337,              0.0016337,              0.0016337
                     40,                0.87891,                0.64908,                 1.1985,                0.86544,                0.84733,                  0.887,                 0.6398,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     41,                0.87683,                0.64564,                 1.1914,                0.85127,                0.87386,                0.86956,                0.62664,                    nan,                    nan,                    nan,              0.0016139,              0.0016139,              0.0016139
                     42,                0.86155,                0.63533,                 1.1833,                0.85742,                0.85115,                0.87011,                0.61182,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     43,                0.87557,                 0.6576,                 1.1952,                0.87337,                0.88931,                0.88543,                0.65211,                    nan,                    nan,                    nan,              0.0015941,              0.0015941,              0.0015941
                     44,                0.84531,                0.63144,                 1.1806,                0.83423,                0.86437,                0.86623,                0.61019,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
